gid,name,state_name,fips,a_sqkm,mms_refineries_kg,mms_metals_kg,mms_ammonia_kg,mms_biofuels_kg,mms_synfuels_kg,mms_ngas_kg,mms_ld_fcev_kg,mms_mhd_fcev_kg,mms_season_enrgy_strg_kg,tot_kg,solar_metric_tons,wind_metric_tons,solar_kg,wind_kg,total_resource_kg,total_resource_minus_total_demand_kg
"529",Butte,Idaho,"16023",5782.45159356767,0,0,0,0,0,3160105.56204103,797123.373287151,303666.047414792,92973.4757075322,4353868.45845051,3284368.2587,8203.549565,3284368258.7,8203549.565,3292571808.265,3288217939.80655
"524",Blaine,Idaho,"16013",6893.27439766497,0,0,0,0,0,3160105.56204103,2674293.27913176,1018778.39355407,110833.90312676,6964011.13785362,1501807.05158,7628.103261,1501807051.58,7628103.261,1509435154.841,1502471143.70315
"573",Clark,Illinois,"17023",1308.07368190984,0,0,0,0,0,4543664.29564709,1455236.96570926,554375.987755204,1382439.56235325,7935716.8114648,1114859.54196,17689.10609,1114859541.96,17689106.09,1132548648.05,1124612931.23854
"525",Boise,Idaho,"16015",4946.45456306699,0,0,0,0,0,3160105.56204103,1462418.69741074,557111.885550285,79531.8500667254,5259167.99506879,10834.2753913,1092.781435,10834275.3913,1092781.435,11927056.8263,6667888.83123121
"763",Boone,Iowa,"19015",1485.65164870951,0,0,0,0,0,1478951.01374486,3424087.91481099,1304414.44566304,1174935.0393137,7382388.41353259,1236505.78909,389036.9893,1236505789.09,389036989.3,1625542778.39,1618160389.97647
"526",Bonner,Idaho,"16017",4969.8110910481,0,0,0,0,0,3160105.56204103,5383274.57672428,2050771.27035079,2259098.65796028,12853250.0670764,348965.295435,7200.44387,348965295.435,7200443.87,356165739.305,343312489.237924
"789",Floyd,Iowa,"19067",1297.66673361456,0,0,0,0,41666666.68,1478951.01374486,2739845.28777244,1043750.58735881,756595.860248105,47685809.4291242,1152950.32239,343939.8048,1152950322.39,343939804.8,1496890127.19,1449204317.76088
"530",Camas,Idaho,"16025",2795.25433680764,0,0,0,0,0,3160105.56204103,290045.658775205,110493.584458422,44943.655294694,3605588.46056936,807563.995217,8833.222174,807563995.217,8833222.174,816397217.391,812791628.930431
"531",Canyon,Idaho,"16027",1563.91413966193,0,0,0,0,0,3160105.56204103,12549763.0376695,4780862.11664568,25145.4821401824,20515876.1984964,1209859.791,17288.96452,1209859791,17288964.52,1227148755.52,1206632879.3215
"532",Caribou,Idaho,"16029",4659.05145633298,0,0,0,0,0,3160105.56204103,892338.905406041,339938.631132675,47267.3150222588,4439650.41360201,1140101.82978,9731.112652,1140101829.78,9731112.652,1149832942.432,1145393292.0184
"584",Edgar,Illinois,"17045",1616.12103372552,0,0,0,0,0,4543664.29564709,1924946.56586664,733312.97855549,1707999.85159197,8909923.69166119,1516184.21543,273591.2917,1516184215.43,273591291.7,1789775507.13,1780865583.43834
"533",Cassia,Idaho,"16031",6682.28179240628,0,0,0,0,31250000.01,3160105.56204103,1831608.48687052,697755.615075907,67793.5243921456,37007263.1983796,3122909.02826,39197.68643,3122909028.26,39197686.43,3162106714.69,3125099451.49162
"534",Clark,Idaho,"16033",4572.27833607753,0,0,0,0,0,3160105.56204103,186037.242753728,70871.3306774659,46386.9786600141,3463401.11413224,2018152.2437,5917.627565,2018152243.7,5917627.565,2024069871.265,2020606470.15087
"535",Clearwater,Idaho,"16035",6445.09835535799,0,0,0,0,0,3160105.56204103,827063.463766894,315071.796185816,103627.879227057,4405868.7012208,128937.140174,311.437044,128937140.174,311437.044,129248577.218,124842708.516779
"817",Mahaska,Iowa,"19123",1486.01795301022,0,0,0,0,0,1478951.01374486,2823154.54000719,1075487.44539985,1175224.7329026,6552817.73205449,1060486.97351,314105.9489,1060486973.51,314105948.9,1374592922.41,1368040104.67795
"538",Franklin,Idaho,"16041",1730.00402737406,0,0,0,0,0,3160105.56204103,996301.405097659,379543.39297842,17551.3505523777,4553501.71066949,347319.7061,736.830261,347319706.1,736830.261,348056536.361,343503034.650331
"570",Cass,Illinois,"17017",995.768412504,0,0,0,0,0,4543664.29564709,1319607.61548916,502707.663785564,549237.513502897,6915217.08842471,740972.548709,106469.7065,740972548.709,106469706.5,847442255.209,840527038.120575
"585",Edwards,Illinois,"17047",574.13192044171,0,0,0,0,0,4543664.29564709,813929.660409349,310068.442518413,606772.150380417,6274434.54895527,498572.893261,0,498572893.261,0,498572893.261,492298458.712045
"544",Jerome,Idaho,"16053",1560.11148789548,0,0,0,0,0,3160105.56204103,1989467.14306102,757892.246094391,25084.340988214,5932549.29218466,1654630.43674,3661.165826,1654630436.74,3661165.826,1658291602.566,1652359053.27382
"539",Fremont,Idaho,"16043",4913.88541776038,0,0,0,0,0,3160105.56204103,2240818.3164044,853645.074176075,49852.6732751249,6304421.62589664,1809411.9287,1036.612696,1809411928.7,1036612.696,1810448541.396,1804144119.7701
"553",Oneida,Idaho,"16071",3111.68090929551,0,0,0,0,0,3160105.56204103,211711.861979021,80652.138015825,31568.8296570527,3484038.39169293,904824.869348,15490.75552,904824869.348,15490755.52,920315624.868,916831586.476307
"536",Custer,Idaho,"16037",12780.0817723794,0,0,0,0,0,3160105.56204103,799578.926183762,304601.496138691,205485.269176545,4469771.25354003,981089.961957,278.577522,981089961.957,278577.522,981368539.479,976898768.22546
"543",Jefferson,Idaho,"16051",2863.26528014941,0,0,0,0,0,3160105.56204103,1970892.54189415,750816.207544187,29048.5870906521,5910862.89857002,2874118.53813,471.849783,2874118538.13,471849.783,2874590387.913,2868679525.01443
"552",Nez Perce,Idaho,"16069",2218.44333241156,0,0,0,0,0,3160105.56204103,4953259.38529724,1886955.95908915,1008425.12183998,11008746.0282674,169872.72737,59.244261,169872727.37,59244.261,169931971.631,158923225.602733
"537",Elmore,Idaho,"16039",8027.6357000062,0,0,0,0,0,3160105.56204103,2067307.78380879,787545.823565888,129072.79562421,6144031.96503992,1853843.52745,96863.23343,1853843527.45,96863233.43,1950706760.88,1944562728.91496
"574",Clay,Illinois,"17025",1215.90035354336,0,0,0,0,0,4543664.29564709,1599218.26756916,609226.007592326,1285026.04697577,8037134.61778435,1106035.31326,0,1106035313.26,0,1106035313.26,1097998178.64222
"541",Gooding,Idaho,"16047",1898.70716422461,0,0,0,0,0,3160105.56204103,1218864.52019398,464329.341711698,30528.4707623188,4873827.89470903,1456105.99565,22364.061,1456105995.65,22364061,1478470056.65,1473596228.75529
"546",Latah,Idaho,"16057",2789.42620129478,0,0,0,0,0,3160105.56204103,3047475.46515821,1160943.03605972,1267973.54514643,8636497.6084054,210653.763587,5535.777261,210653763.587,5535777.261,216189540.848,207553043.239595
"550",Madison,Idaho,"16065",1226.06258742863,0,0,0,0,0,3160105.56204103,2802495.32883096,1067617.26970205,12438.7307373951,7042656.89131143,681809.905652,36073.11822,681809905.652,36073118.22,717883023.872,710840366.980689
"551",Minidoka,Idaho,"16067",1977.54601531758,0,0,0,0,0,3160105.56204103,1480448.44488097,563980.360787179,31796.0856983531,5236330.45340754,1409328.89257,269.350957,1409328892.57,269350.957,1409598243.527,1404361913.07359
"542",Idaho,Idaho,"16049",22026.8515187181,0,0,0,0,0,3160105.56204103,2467169.90009121,939874.249041194,354159.980667547,6921309.69184098,415959.135435,3121.330826,415959135.435,3121330.826,419080466.261,412159156.569159
"890",Greeley,Kansas,"20071",2015.38860025018,0,0,0,0,0,1394439.52724375,291539.27627591,111062.581602387,192625.336336292,1989666.72145834,2498305.05652,733780.3146,2498305056.52,733780314.6,3232085371.12,3230095704.39854
"554",Owyhee,Idaho,"16073",19931.2065295518,0,0,0,0,0,3160105.56204103,1165319.73314758,443931.327568675,320465.033924094,5089821.65668138,10554495.8174,218449.2911,10554495817.4,218449291.1,10772945108.5,10767855286.8433
"819",Marshall,Iowa,"19127",1484.40209935236,0,0,0,0,0,1478951.01374486,4232422.05296982,1612351.2606543,1173946.82695293,8497671.1543219,1108822.41988,399591.2087,1108822419.88,399591208.7,1508413628.58,1499915957.42568
"547",Lemhi,Idaho,"16059",11842.8654372493,0,0,0,0,0,3160105.56204103,844256.955802551,321621.697923354,190416.18320895,4516400.39897589,961744.127609,3459.314478,961744127.609,3459314.478,965203442.087,960687041.688024
"548",Lewis,Idaho,"16061",1242.04266488766,0,0,0,0,0,3160105.56204103,670479.665919703,255420.825489308,564588.244094682,4650594.29754473,414314.603478,0,414314603.478,0,414314603.478,409664009.180455
"549",Lincoln,Idaho,"16063",3122.73702822693,0,0,0,0,0,3160105.56204103,1081921.78349852,412160.680036422,50209.1043110208,4704397.129887,3223177.61957,12631.81526,3223177619.57,12631815.26,3235809434.83,3231105037.70011
"555",Payette,Idaho,"16075",1061.75529134913,0,0,0,0,0,3160105.56204103,1608820.81512126,612884.120950907,17071.4926342664,5398881.99074747,408830.035,0,408830035,0,408830035,403431153.009252
"556",Power,Idaho,"16077",3735.28848341516,0,0,0,0,0,3160105.56204103,528696.62685966,201408.23910099,37895.4942007794,3928105.92220246,1577127.68304,63737.43626,1577127683.04,63737436.26,1640865119.3,1636937013.3778
"557",Shoshone,Idaho,"16079",6823.73414225451,0,0,0,0,0,3160105.56204103,756643.753304897,288245.239779741,109715.796188469,4314710.35131414,5139.07336957,8558.691391,5139073.36957,8558691.391,13697764.76057,9383054.40925586
"788",Fayette,Iowa,"19065",1894.61863727438,0,0,0,0,0,1478951.01374486,2170984.47564244,827041.706227486,1104644.65226592,5581621.84788071,1394248.15522,453879.3472,1394248155.22,453879347.2,1848127502.42,1842545880.57212
"559",Twin Falls,Idaho,"16083",4993.58842465007,0,0,0,0,0,3160105.56204103,6128428.27921257,2334639.34790822,50661.2814586116,11673834.4706204,3403192.79307,70721.46052,3403192793.07,70721460.52,3473914253.59,3462240419.11938
"564",Bond,Illinois,"17005",990.295856645721,0,0,0,0,0,4543664.29564709,1298234.78561041,494565.633343546,546219.007458355,6882683.7220594,893060.219783,0,893060219.783,0,893060219.783,886177536.060941
"560",Valley,Idaho,"16085",9668.98010479034,0,0,0,34000575.1933173,0,3160105.56204103,1620916.47929878,617491.993025336,155463.244671054,39554552.4723535,316421.115217,197.15713,316421115.217,197157.13,316618272.347,277063719.874646
"790",Franklin,Iowa,"19069",1510.06293057146,0,0,0,0,0,1478951.01374486,1228451.70022662,467981.600777146,1868286.04436639,5043670.35911502,1374810.62239,445567.6687,1374810622.39,445567668.7,1820378291.09,1815334620.73088
"561",Washington,Idaho,"16087",3817.41602415498,0,0,0,0,0,3160105.56204103,1014303.16079233,386401.204681752,61378.5399227768,4622188.4674379,550459.23587,17996.33452,550459235.87,17996334.52,568455570.39,563833381.922562
"562",Adams,Illinois,"17001",2256.68991029098,0,0,0,40563731.7893061,0,4543664.29564709,5395045.81378852,2055255.55114379,1244725.9217216,53802423.3716071,1774455.5373,93470.60922,1774455537.3,93470609.22,1867926146.52,1814123723.14839
"601",Jasper,Illinois,"17079",1291.08670269944,0,0,0,0,0,4543664.29564709,1372123.96965111,522713.893972028,1364486.84880958,7802989.00807981,1155541.94587,0,1155541945.87,0,1155541945.87,1147738956.86192
"563",Alexander,Illinois,"17003",657.075785094741,0,0,0,0,0,4543664.29564709,921658.742815513,351108.093019438,362424.300526755,6178855.4320088,269878.156522,0,269878156.522,0,269878156.522,263699301.089991
"568",Calhoun,Illinois,"17013",733.998911560696,0,0,0,0,0,4543664.29564709,390550.2674259,148781.05447711,404852.907600953,5487848.52515105,173656.01613,1403.085391,173656016.13,1403085.391,175059101.521,169571252.995849
"615",Logan,Illinois,"17107",1602.17737060726,0,0,0,0,0,4543664.29564709,2282184.53549447,869403.633852697,187846.076826795,7883098.54182106,1498558.19628,350699.6396,1498558196.28,350699639.6,1849257835.88,1841374737.33818
"575",Clinton,Illinois,"17027",1302.73941462047,0,0,0,0,0,4543664.29564709,3713207.44856446,1414555.22058885,718553.980869013,10389980.9456694,1034126.61875,0,1034126618.75,0,1034126618.75,1023736637.80433
"577",Cook,Illinois,"17031",2474.2811103243,0,666666666.684087,0,162254927.157224,0,4543664.29564709,242770232.230179,92483898.1289695,6410241.47158118,1175129629.96769,103567.712217,0,103567712.217,0,103567712.217,-1071561917.75069
"578",Crawford,Illinois,"17033",1153.94458353597,91023144.2085,0,0,0,20833333.34,4543664.29564709,1761497.21874304,671046.560511725,1219548.00184819,120052233.62525,1015797.29848,0,1015797298.48,0,1015797298.48,895745064.85475
"580",DeKalb,Illinois,"17037",1643.57913889127,0,0,0,0,0,4543664.29564709,7997382.21922135,3046621.80229589,4258101.11631397,19845769.4334783,1468181.05588,324512.705,1468181055.88,324512705,1792693760.88,1772847991.44652
"581",De Witt,Illinois,"17039",1049.58322176105,0,0,0,0,0,4543664.29564709,2071210.84552779,789032.704222941,1109253.5457377,8513161.39113552,952838.233261,241901.1157,952838233.261,241901115.7,1194739348.961,1186226187.56986
"590",Fulton,Illinois,"17057",2286.13274623885,0,0,0,0,0,4543664.29564709,3725490.78822348,1419234.58808491,1260965.75199078,10949355.4239463,1661522.96181,89391.49617,1661522961.81,89391496.17,1750914457.98,1739965102.55605
"591",Gallatin,Illinois,"17059",851.156674957433,0,0,0,0,0,4543664.29564709,888055.646882395,338306.913597448,469473.795196467,6239500.6513234,568271.251957,0,568271251.957,0,568271251.957,562031751.305677
"592",Greene,Illinois,"17061",1416.06217036815,0,0,0,0,0,4543664.29564709,1326455.22195844,505316.275777712,781059.587402202,7156495.38078545,1199809.90457,17410.04296,1199809904.57,17410042.96,1217219947.53,1210063452.14921
"593",Grundy,Illinois,"17063",1114.96651002044,0,0,0,0,0,4543664.29564709,3815881.26381212,1453669.05502665,2888598.4426484,12701813.0571343,928114.203409,162159.1499,928114203.409,162159149.9,1090273353.309,1077571540.25187
"595",Hancock,Illinois,"17067",2109.83403571227,0,0,0,0,0,4543664.29564709,2128284.0397208,810774.87347142,1163724.40130374,8646447.61014305,1844988.6937,118731.488,1844988693.7,118731488,1963720181.7,1955073734.08986
"596",Hardin,Illinois,"17069",469.584690974085,0,0,0,0,0,4543664.29564709,458804.351486429,174782.610348074,259009.549621154,5436260.80710275,20830.4188174,0,20830418.8174,0,20830418.8174,15394158.0102973
"597",Henderson,Illinois,"17071",1024.1561279942,0,0,0,0,0,4543664.29564709,1400183.1752327,533403.115161749,564895.369359819,7042145.95540136,811609.903261,113363.7313,811609903.261,113363731.3,924973634.561,917931488.605599
"668",Blackford,Indiana,"18009",428.769964280901,0,0,0,0,0,5037540.84952372,1533469.57027,584178.884774719,855574.038875862,8010763.3434443,371473.44913,69884.59487,371473449.13,69884594.87,441358044,433347280.656556
